old_path,new_path,proposed_status,note
/dekorativ-kamen/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/dekorativ-kamen/krypnii-kamen/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/dekorativ-kamen/plitnyak-krypnii/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/dekorativ-kamen/s-faskoi/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/dekorativ-kamen/skala/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/dekorativ-kamen/slanec/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/dekorativ-kamen/srednii-kamen/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/dostavka/,/services/#delivery,301,Перенос в соответствующее направление
/,/,keep,Перенос в соответствующее направление
/kontacti/,/contacts/,301,Перенос в соответствующее направление
/metalloconstrykcii/besedki/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/metalloconstrykcii/kaminy/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/metalloconstrykcii/kletki-dlya-ptits/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/metalloconstrykcii/kozirki/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/metalloconstrykcii/lavochki-i-skamejki/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/metalloconstrykcii/lyustry/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/metalloconstrykcii/mangaly/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/metalloconstrykcii/perila/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/metalloconstrykcii/podsvechniki/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/metalloconstrykcii/vorota-i-kalitki/,/catalog/metallokonstrukcii/,301,Перенос в соответствующее направление
/metalloconstrykcii/yrni-i-konteineri/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/navershiya-stolbov/chetirehskatnie/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/navershiya-stolbov/dvyhskatnie/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/navershiya-stolbov/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/plitka-taktilnaya/,/catalog/taktilnaya-plitka/,301,Перенос в соответствующее направление
/plitka-trat/,/catalog/trotuarnaya-plitka/,301,Перенос в соответствующее направление
/plitka-trat/vibroprisovannaya/katyshka/,/catalog/trotuarnaya-plitka/vibropressovannaya/,301,Перенос в соответствующее направление
/plitka-trat/vibroprisovannaya/kirpichik-plitka/,/catalog/trotuarnaya-plitka/vibropressovannaya/,301,Перенос в соответствующее направление
/plitka-trat/vibroprisovannaya/starii-gorod/,/catalog/trotuarnaya-plitka/vibropressovannaya/,301,Перенос в соответствующее направление
/plitka-trat/vibroprisovannaya/travnitsa/,/catalog/trotuarnaya-plitka/vibropressovannaya/,301,Перенос в соответствующее направление
/plitka-trat/virolite/bryk/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/plitka-trat/virolite/bybna/,/catalog/trotuarnaya-plitka/vibrolitevaya/,301,Перенос в соответствующее направление
/plitka-trat/virolite/cherepachka300/,/catalog/trotuarnaya-plitka/vibrolitevaya/,301,Перенос в соответствующее направление
/plitka-trat/virolite/cherepachka500/,/catalog/trotuarnaya-plitka/vibrolitevaya/,301,Перенос в соответствующее направление
/plitka-trat/virolite/egipet/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/plitka-trat/virolite/florida/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/plitka-trat/virolite/gladkaya/,/catalog/trotuarnaya-plitka/vibrolitevaya/,301,Перенос в соответствующее направление
/plitka-trat/virolite/kamenni-pol/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/plitka-trat/virolite/kamennii-cvetok/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/plitka-trat/virolite/kolodec/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/plitka-trat/virolite/kosi4ka/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/plitka-trat/virolite/malenkaya/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/plitka-trat/virolite/morskoe-dno/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/plitka-trat/virolite/parket-doska/,/catalog/trotuarnaya-plitka/vibrolitevaya/,301,Перенос в соответствующее направление
/plitka-trat/virolite/paytinka/,/catalog/trotuarnaya-plitka/vibrolitevaya/,301,Перенос в соответствующее направление
/plitka-trat/virolite/polosochki/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/plitka-trat/virolite/polymesyac/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/plitka-trat/virolite/romashka/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/plitka-trat/virolite/romb/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/plitka-trat/virolite/shashki/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/plitka-trat/virolite/skol/,/catalog/trotuarnaya-plitka/vibrolitevaya/,301,Перенос в соответствующее направление
/plitka-trat/virolite/spiral/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/plitka-trat/virolite/vosem-kirpechei/,/catalog/trotuarnaya-plitka/vibrolitevaya/,301,Перенос в соответствующее направление
/stati/1-first/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/stati/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/stati__q98889b3270b9/,,review,Синтетическое имя восстановленного query URL; оригинальный адрес уточнить перед настройкой
/stati__qd2528671d57f/,,review,Синтетическое имя восстановленного query URL; оригинальный адрес уточнить перед настройкой
/stypeni/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/termopanel/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/ykladka-tratyarnoi-plitk/,/services/ukladka-trotuarnoj-plitki/,301,Перенос в соответствующее направление
/zabor/cvetnie-gb/bylignik/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/zabor/cvetnie-gb/gornaya-gryada/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/zabor/cvetnie-gb/kirpichik/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/zabor/cvetnie-gb/klassik/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/zabor/cvetnie-gb/novgorodskii/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/zabor/cvetnie-gb/skala-zabori/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/zabor/cvetnie-gb/vaalamskii/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/zabor/,/catalog/zabory/,301,Перенос в соответствующее направление
/zabor/iz-evrostaket/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/zabor/iz-metal-pryta/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/zabor/iz-profnastila/dvystoronnii/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/zabor/iz-profnastila/sekcionnii/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/zabor/iz-profnastila/splohnoi/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/zabor/iz-setki-rabitsy/natyagnoi-zabor/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/zabor/iz-setki-rabitsy/sekcionnii-zabor-setka/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/zabor/kombinirovannie/,/catalog/zabory/,301,Перенос в соответствующее направление
/zabor/kovanniie/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/zabor/serie-g-b/bylignik-v-ramke/,/catalog/zabory/,301,Перенос в соответствующее направление
/zabor/serie-g-b/bylignik-volna/,/catalog/zabory/,301,Перенос в соответствующее направление
/zabor/serie-g-b/kirpichik-zabor-cerii/,/catalog/zabory/,301,Перенос в соответствующее направление
/zabor/serie-g-b/pero/,/catalog/zabory/,301,Перенос в соответствующее направление
/zabor/serie-g-b/pletenka/,/catalog/zabory/,301,Перенос в соответствующее направление
/zabor/serie-g-b/skala-zabor-serii/,/catalog/zabory/,301,Перенос в соответствующее направление
/zabor/tanvald/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
